regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
Nordrhein_Westfalen,200,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,1,2.88,40,680,1959,112095671,NA,oil,FALSE,Nordrhein_Westfalen,TRUE,2,480,107,82,Mönchengladbach,NA,normal,NA,Odenkirchener Str.,Odenkirchener_Str.,FALSE,3,ground_floor,41236,3,108,4,6,3,FALSE,4,Mönchengladbach,Rheydt,"Die ansprechende und günstige Wohnung verfügt über drei lichtdurchflutete Zimmer zuzüglich separater Küche, Diele, hellem Bad mit Badewanne und einem Südbalkon. Ihnen steht außerdem ein Keller- sowie Fahrradraum zur Verfügung. Die Wohnung liegt im 4. Obergeschoss in einem gepflegten Haus mit angenehmer Nachbarschaft und kann durch einen Aufzug bequem erreicht werden. Durch die Lage ist die Wohnung sehr hell und bietet außerdem einen schönen, unverbauten Fernblick. Es sind außreichend öffentliche Parkmöglichkeiten vorhanden.","Hier erwartet Sie:

- 3 geräumige Zimmer
-heller Südbalkon
-gepflegte Laminatböden
- weiß gefliestes Wannenbad
-Kellerraum",NA,NA,NA,NA,NA,Oct19
Nordrhein_Westfalen,165,central_heating,ONE_YEAR_FREE,10,FALSE,TRUE,9,3.23,10,685,1996,111109355,1,natural_gas_light,TRUE,Nordrhein_Westfalen,TRUE,5,520,105,65,Mülheim_an_der_Ruhr,NA,sophisticated,negotiable,B&uuml;lowstra&szlig;e,Bülowstraße,FALSE,4,raised_ground_floor,45479,2,89,NA,NA,2,FALSE,3,Mülheim_an_der_Ruhr,Broich,"Die gut geschnittene und gepflegte, ca. 65 qm große Wohnung aus dem Baujahr 1996, liegt im Hochparterre eines Hauses mit 7 Wohneinheiten und teilt sich wie folgt auf: 
Diele, modernes Tageslichtbad mit Fenster sowie Wanne/Duschkombination, Hänge-WC, Handtuchheizung, ein Schlafzimmer, ein ca. 33 qm großer Wohn-/ Essbereich und eine hochwertige inkl. E-Geräte mit. Die Küche verfügt über eine Abstellnische. 

Die Loggia mit Süd/West Ausrichtung ist sowohl vom Wohn- / Esszimmer als auch von der Küche zu betreten. 

Die Böden in der Diele, dem Badezimmer und der Küche sind mit Bodenfliesen versehen. Der Wohn-/ Essbereich ist mit Parkett verlegt.

Die Beheizung erfolgt über eine Gaszentralheizung, die Warmwasseraufbereitung über moderne Durchlauferhitzer. 

Ein separater Kellerraum, ein Gemeinschaftswaschkeller für die eigene Waschmaschine/Wäschetrockner, ein Fahrradkeller und ein Parkgaragenstellplatz vervollständigen das Angebot zu dieser Wohnung.

TV: Kabelanschluss - Gebühren in NK-Vorauszahlung enthalten

Vermietbar: nach Vereinbarung","* ca. 33 qm großer Wohn-/Essbereich 
* Süd/West Loggia begehbar von der Küche und dem Wohn-/Essbereich
* hochwertige, weiße EBK inkl. E-Geräten,  
* weißes Vollbad mit Fenster sowie Badewanne/Duschkombination, 
   Waschtisch und Spiegelschrank, Hänge-WC, Handtuchheizung
* Kellerraum
* Gemeinschafts-Fahrradkeller
* Gemeinschafts-Waschküche für die eigene Waschmaschine/Trockner",NA,NO_INFORMATION,NA,NA,NA,May19
Berlin,450,floor_heating,ONE_YEAR_FREE,NA,TRUE,TRUE,14,6.85,40,2830,2018,111780700,NA,district_heating,TRUE,Berlin,TRUE,9,2380,NA,140,Berlin,NA,NA,NA,no_information,NA,TRUE,9,penthouse,10589,3,NA,6,6,3,FALSE,6,Berlin,Charlottenburg_Charlottenburg,"Die hier angebotene, exklusive Penthouse ist Teil des Neubauprojekts „Goslarer Ufer – Wohnen an der Spree. Es besticht durch die exklusive Wasserlage an der Spree, den atemberaubenden Blick über ganz Berlin und die großzügige Hauptterrasse. Die offene, moderne Raumaufteilung mit luxuriöser Ausstattung und großen Fensterfronten verleiht diesem Objekt seinen einzig-artigen und urbanen Charakter.","•	Großzügiger, lichtdurchfluteter Wohnbereich
•	Schlafzimmer mit Zugang zu der umlaufenden Penthouse-Terrasse, Bad en suite und geräumigem Einbauschrank
•	Ein weiteres Arbeits-/Kinder-/ Esszimmer, abtrennbar mit modernen Schiebetüren
•	Moderne Einbauküche, ausgestattet mit allen elektrischen Geräten – u.a. Edelstahl-Backofen mit Steam-Bake-Funktion, Induktionskochfeld und Mikrowelle
•	Tagesbelichtetes Vollbad mit u.a. Doppelwaschbecken, bodentiefer Dusche, Spiegel und Bidet 
•	Großzügige Hauptterrasse in Südausrichtung mit grandiosem Blick über die Stadt
•	Hochwertiges Eichen-Vollholz Parkett, 2,68 m Deckenhöhe, elektrische Oberlichter sowie hochwertige Lampen 
•	Gäste-WC sowie Abstell/-Hauswirtschaftsraum
•	Elektrische Jalousien an allen Fenstern sowie Sicherheits-Wohnungseingangstür
•	Parkähnlicher Innenhof sowie direkte Uferlage mit Wasserzugang
•	Tiefgaragenstellplatz zusätzlich anmietbar
•	Kellerraum",NA,NA,NA,NA,NA,Oct19
Nordrhein_Westfalen,200,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,17,3.23,10,NA,1966,110362794,0,gas,TRUE,Nordrhein_Westfalen,FALSE,2,520,34,60,Wuppertal,first_time_use_after_refurbishment,sophisticated,negotiable,Fischertal,Fischertal,FALSE,4,apartment,42287,2,56,2,4,2,FALSE,2,Wuppertal,Barmen,"Bitte NUR per E-Mail mit ""Kontakt zum Anbieter""
anfragen! Wir melden uns bei Ihnen. Telefonische
Anfragen können nicht berücksichtigt werden.

Ideale Wohnung mit Balkon für einen 1-2 Personenhaushalt.
2009/2010 umfangreich modernisiertes
Mehrfamilienhaus. Dacherneuerung incl. Dämmung,
Fenster mit 3-Fach-Verglasung sowie
Fassadendämmung.

Die Wohnung selbst ist 2019 umfangreich modernisiert worden und wird jetzt als ""Erstbezug nach Modernisierung"" angeboten.","Aktuell ist die Wohnung mit neuer Elektro-, Sanitär-und Badausstattung saniert worden. Die
Wohnung ist zudem mit neuen Bodenbelägen, neu
tapeziert und gestrichen, bezugsfertig.
Zusätzlich ist die Wohnung ist mit einer neuen, weißen Einbauküche von einem namhaften Küchenstudio aus Wuppertal ausgestattet.

Folgendes bietet Ihnen die Küche:
Einbau-Elektroherd
Elektro-Ceran-Kochfeld
Flachschirm-Dunsthaube
Kühl-/Gerfrier-Einbaukühlschrank
Einbau-Geschirrspüler
LED-Unterbaubeleuchtung

Kurzum, Sie können die Wohnung ohne großen
Aufwand direkt beziehen. Nur Ihre Möbel müssen Sie noch mitbringen.",NA,B,2019,NA,NA,May19
Hamburg,173,gas_heating,NA,NA,FALSE,TRUE,12,5.56,NA,832,1972,106978829,1,natural_gas_heavy,TRUE,Hamburg,TRUE,3,599,32,52.8,Hamburg,well_kept,NA,NA,Vahrenwinkelweg,Vahrenwinkelweg,FALSE,4,apartment,21077,2,139,NA,NA,2,FALSE,2,Hamburg,Heimfeld,"In gefragter und attraktiver Lage in Hamburg-Eißendorf, befindet sich diese schöne 2-Zimmer-Wohnung im Erdgeschoss eines gepflegten Mehrfamilienhaus.

Das große Wohnzimmer ist das Herzstück der Wohnung und wirkt durch seine große Fensterfront hell und lichtdurchflutet. Von hier aus gelangen Sie auf die herrliche 10qm große Terrasse, welche von viel Grün und Natur umgeben ist. Für den nötigen Schatten sorgt die bereits vorhandene Markise. In der Loggia ist außerdem eine Steckdose für die Außenbeleuchtung angebracht, welche Sie durch einen in der Wohnung befindlichen Lichtschalter steuern können.

Vom Wohnzimmer geht auch die kleine Kitchenette ab, welche mit Herd, Cerankochfeld, Spüle und Einbaukühlschrank mit Gefrierfach modern ausgestattet ist. 

Das Badezimmer ist großzügig geschnitten und verfügt über eine Dusche, Handtuchheizung, Fenster sowie einen Waschmaschinenanschluss. Die vorhandene Waschmaschine kann gegen Abstand vom Vormieter übernommen werden.
Alternativ befindet sich im Keller auch eine Waschküche mit Gemeinschaftswaschmaschine.

Das gemütliche Schlafzimmer als Rückzugsort bietet weiterhin genügend Platz für Ihr Bett, Kleiderschrank und weitere persönliche Dinge.
 
Ein zur Wohnung gehörender Boden- und ein separater Kellerraum runden dieses herrliche Wohnungsangebot ab.

Für Ihren PWK steht eine auf dem Hinterhof befindliche Garage zur Verfügung (60,00€/monatlich - Anmietungspflicht).","- Einbauküche
- Herd mit Cerankochfeld, Kühlschrank mit Gefrierfach
- schickes Duschbad mit Fenster
- Waschmaschienenanschluss im Bad
- 10qm große Terrasse
- Dachbodenraum 
- Kellerraum
- Trockenraum
- Türgegensprechanlage
- Gemeinschaftswaschmaschine im Waschkeller
- Garage für € 60,00 mtl. (Anmietungspflicht)

Mietbeginn: nach Vereinbarung.
Als Mietsicherheit (Kaution) sind 3 Nettomieten zu zahlen. Nebenkosten: 173,00 inkl. der Heiz-und Warmwasserkosten, zzgl. Kaltwasserkosten.

Energieausweis: Verbrauchsausweis: 139,0 kWh/(m²a), Erdgas, Baujahr 1972, Baujahr Anlagentechnik: 1998",NA,NA,NA,90.76,0.1985,Sep18
Sachsen,115.68,floor_heating,NA,NA,FALSE,FALSE,14,4.02,NA,636.24,NA,115292626,1,NA,TRUE,Sachsen,FALSE,NA,520.56,29,48.2,Leipzig,first_time_use,sophisticated,negotiable,Wilhelm-Sammet-Stra&szlig;e,Wilhelm-Sammet-Straße,FALSE,4,loft,04157,1.5,NA,NA,NA,1,FALSE,2,Leipzig,Gohlis_Mitte,"// BLEICHERT-LOFTS AB JANUAR 2020

Die hier zur Miete angebotene, ca. 48 m² große Maisonette-Wohnung befindet sich im Hochparterre eines aufwendig sanierten Industriejuwels.

In der unteren Ebene dieses attraktiven 1,5-Zimmer-Lofts erwarten Sie der lichtdurchflutete Wohn- und Kochbereich inkl. Einbauküche sowie das moderne Badezimmer mit ebenerdiger Dusche und Waschmaschinenanschluss.

Der Schlafbereich erstreckt sich über die großzügige Galerie der oberen Ebene.

Im Wohnraum sowie in der Galerie wurde Parkettboden verlegt, die Bäder sind hochwertig gefliest. Die komplette Wohnung verfügt über eine Fußbodenheizung.

Eine private Abstellmöglichkeit im Treppenhaus, der Fahrradraum und ein Stellplatz im anliegenden Parkhaus runden das Angebot ab.

Gern steht Ihnen unser engagiertes Maklerteam für Fragen oder Terminabsprachen unter 0341-900 440 00 zur Verfügung.","- Maisonettewohnung
- voll ausgestattete Einbauküche
- Galerie
- Badezimmer mit ebenerdiger Dusche & Waschmaschinenanschluss
- Echtholzparkett
- Fußbodenheizung
- Abstellraum im Treppenhaus
- Stellplatz im Parkhaus
- Fahrradraum
- attraktiver Lichthof",NA,NA,NA,NA,NA,Feb20
Bayern,180,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,16,5.26,40,NA,1993,72090476,1,gas,FALSE,Bayern,TRUE,5,625,12,82,Aschaffenburg,well_kept,luxury,no,Tulpenstra&szlig;e,Tulpenstraße,FALSE,5,roof_storey,63743,3,NA,3,3,3,FALSE,4,Aschaffenburg,Schweinheim,"Diese helle und geräumige Dachwohnung befindet sich in einem modernen und gepflegten Wohnhaus mit insgesamt 5 Wohneinheiten.  Die Wohnung ist mit einigen Extras ausgestattet die Ihren Wohnwert steigern. Echt Holz Parkett im Wohnbereich mit Bodenstrahler in der unteren Ebene, Gäste WC. Die Treppenwand zum Schlaf Bereich ist mit mit Sichtbetonwand bestückt. Durch den Schlaf-Bereich (Vorwerk Teppichboden) kommt man zum Designer Bad. Eine exklusiv Wohnung mit unverbauten Blick auf den Spessart.","Die hervorragende Isolierung der Dachflächen(2012erneuert) und Fenster sorgt für ein angenehmes Klima auch in heißen Sommermonaten.  Die Fensterfront zum Balkon, das Schlafzimmerfenster und das große Dachfenster zur Südwestseite 
haben Rollläden. 
Zu der Wohnung gehört eine Duplexgarage und ein abschließbarer Kellerraum (ca. 4m²), zusätzlich verfügt das Haus über einen gemeinschaftlichen Wasch-/ Trockenraum und einen Fahrradkeller.

Die im Augenblick in der Wohnung befindliche EBK wird vom Vormieter gerne gegen Ablösung übergeben.",NA,NA,2012,NA,NA,Feb20
Sachsen_Anhalt,76.6,self_contained_central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,0,2.28,40,385.6,1899,115598126,NA,NA,FALSE,Sachsen_Anhalt,FALSE,1,309,37,60.05,Stendal_Kreis,refurbished,NA,NA,Frommhagenstrasse,Frommhagenstrasse,FALSE,2,apartment,39576,2,NA,1,3,2,TRUE,2,Stendal_Kreis,Stendal,"Diese ansprechende, sanierte Wohnung im 1.Obergeschoss
kann ab sofort bezogenen werden.
","Bad hell mit Fenster und Wanne,
Küche geräumig mit 2 Fenstern",NA,NA,2006,NA,NA,Feb20
Sachsen,100,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,8,2,40,329,1960,85177160,NA,district_heating,TRUE,Sachsen,TRUE,2,229,8,43.9,Chemnitz,well_kept,normal,NA,Am Stadtpark,Am_Stadtpark,FALSE,1,apartment,09120,2,63.8,6,6,2,FALSE,2,Chemnitz,Helbersdorf,"Wohnen in netter Nachbarschaft ...

Neues Jahr – neue Wünsche! Sie möchten das neue Jahr gern in einer neuen Wohnung starten? Diesen Wunsch erfüllen wir Ihnen gern! Und das Beste: die ersten zwei Warmmieten sind geschenkt! Besser kann das neue Jahr wohl kaum starten! Melden Sie sich gern bei uns für ein persönliches Beratungsgespräch oder einen Besichtigungstermin.*

*Das Angebot gilt nur für Neumieter der TAG Wohnen bei Mietvertragsbeginn bis Ende Februar 2020. Der Bonus wird in Form eines Mieterlasses erstattet.","So schön kann WOHNEN sein:

- Einbauküche
- moderner Laminatfußboden
- helle lichtdurchflutete Räume
- Balkon  mit Ausblick auf Stadtpark und Gartenanlage
- Bad mit Wanne
- Wohnung befindet sich im Dachgeschoss 
- Kellerabteil
- High-Speed-Internet möglich
- wöchentliche Hausreinigung übernimmt eine Fachfirma
- Gebühren für Kabelanschluss ist bereit in der Miete enthalten

Wohnung ist gerade frei geworden. Originalbilder folgen in Kürze.
Bitte beachten Sie, dass es sich bei den Maßangaben am Grundriss um ca. Maße handelt. Keine Gewähr für die Passfähigkeit Ihrer Möblierung! Gern können Sie zu einer Besichtigung Maße nehmen.

Ihr direkter Draht zum Vermieter: 0170 3715933",NA,NA,NA,NA,NA,Feb20
Nordrhein_Westfalen,45,electric_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,7,4.4,40,395,1911,107383704,NA,electricity,FALSE,Nordrhein_Westfalen,TRUE,1,350,NA,22,Düsseldorf,NA,NA,no,no_information,NA,FALSE,2,apartment,40229,1,166,1,3,1,FALSE,1,Düsseldorf,Eller,"Das zur Vermietung anstehende Apartment ist frisch renoviert udn befindet sich im 1.OG eines gepflegten Mehrfamilienhauses in Düsseldorf-Eller. Die Straßenbahn erreichen Sie in 100 Metern Fußweg.

Derzeit wird die Außenfassade erneuert.

Die Wohneinheit teilt sich wie folgt auf:

- Diele
- Badezimmer mit ebenerdiger Regendusche und Fenster
- Küche mit Waschmaschinenanschluß
- Wohnzimmer mit Ausgang zum Balkon 

Des Weiteren befindet sich ein Kellerteil zur Nutzung.


","- Bodenbelag in Fliesen und Laminat
- Regendusche 
- moderner Fliesenspiegel in der Küche
- Balkon
- weiße Innentüren
- doppelverglaste Isokunststofffenster
- Stromheizung, hier schließt der Mieter direkt einen vertrag mit einem Versorgungswerk ab
- Treppenhausreinigung erfolgt im Wechsel zwischen den Mietern
",NA,NA,2018,90.76,0.1845,Sep18
Nordrhein_Westfalen,95,self_contained_central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,6,4.41,10,525,1965,62267211,NA,gas,FALSE,Nordrhein_Westfalen,TRUE,2,440,28,67,Dortmund,mint_condition,sophisticated,negotiable,Adlerstra&szlig;e/Annenstra&szlig;e,Adlerstraße/Annenstraße,FALSE,3,apartment,44137,2,NA,3,4,2,FALSE,3,Dortmund,Innenstadt,Die Wohnung befindet sich in einem gepflegtem Objekt. 15€ monatlich für die Treppenhausreinigung sind in den Nebenkosten noch nicht enthalten. Die Wohnung kann ab dem 01.07.2019 oder später bezogen werden.,"Die Wohnung wurde vor 5 Jahren kernsaniert. Im Wohnbereich liegt Parkettboden, Küche mit Granitboden und das Bad ist gefließt. Ein Trockenkeller sowie ein Abstellkeller sind vorhanden.",NA,NA,2011,NA,NA,May19
Nordrhein_Westfalen,400,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,8,3.39,40,2400,1901,113288305,NA,gas,TRUE,Nordrhein_Westfalen,TRUE,1,2000,NA,190,Bonn,well_kept,sophisticated,negotiable,no_information,NA,FALSE,8,apartment,53115,6,NA,2,4,5,FALSE,7,Bonn,Poppelsdorf,"Die sonnige großzügig geschnittene Wohnung im 1. OG eines gepflegten denkmalgeschützten Altbaus verfügt über 6 Zimmer, ein modernes Badezimmer mit 2 Waschbecken, Badewanne, sehr geräumiger Regendusche und WC, ein Gäste-WC und einen kleinen sonnigen überdachten Balkon. Die großzügige Wohnküche ist voll ausgestattet und besitzt große breite Schiebefenster. Die gesamte Wohnung ist mit Dielenboden bzw. Fliesen ausgestattet, hat hohe Stuckdecken und ist isolierverglast. Ein Pkw-Abstellplatz kann sich mit einer anderen Partei geteilt werden. Die Mietzeit ist bis 31.08.2021 begrenzt.","Dielenboden, größtenteils historische Türelemente, Stuckdecken, Isolierverglasung",NA,NA,2010,NA,NA,Oct19
Sachsen,216,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,27,0.56,40,648.5,1910,108869835,NA,district_heating,FALSE,Sachsen,TRUE,1,432.5,32,83.16,Zwickau,well_kept,normal,NA,Robert-M&uuml;ller-Stra&szlig;e,Robert-Müller-Straße,FALSE,3,maisonette,08056,3.5,88,3,3,3,FALSE,4,Zwickau,Mitte_West,"Die Wohnung befindet sich in einem schönen gepflegten Altbauhaus, welches 1997 umfassend saniert wurde. Es handelt sich um eine 3 bis 3,5 Zimmerwohnung im Dachgeschoss","Dachgeschoss: (anrechenbare Wohnräume)
- Flur (12,2qm)
- sehr großes Wohnzimmer (33,4qm) - nach oben offen
- Schlafzimmer (10,9qm)
- Kinderzimmer (9,8qm)
- Küche mit Fenster (9,0qm)
- innenliegendes Bad mit Wanne (5,2qm)
- WC (2,5qm)

Spitzboden: (eingeschränkt nutzbare Räume)
- Nebenraum 
- Bad mit Wanne
- Galerie
Die Räume im Spitzboden gelten auf Grund der zu geringen Raumhöhe lt. Baurecht nicht als Aufenthaltsräume - dennoch ist eine Nutzung eingeschränkt möglich. 
Die gesamte Grundfläche beträgt ca. 36qm. Alle Räume haben durchgängig spitz zulaufende Dachschrägen.",NA,NA,NA,NA,NA,Oct19
Sachsen_Anhalt,40,gas_heating,ON_DEMAND,NA,FALSE,FALSE,7,0.74,2.4,NA,1998,113379944,NA,gas,FALSE,Sachsen_Anhalt,FALSE,5,290,5,65,Salzlandkreis,well_kept,NA,NA,Breite Gasse,Breite_Gasse,FALSE,1,apartment,39249,1,80.8,NA,NA,1,FALSE,3,Salzlandkreis,Barby_Elbe,"In Barby gibt es mehrere Allgemeinärzte, Apotheke und Physiotherapie. Grundschule und Kindergarten sind im Ort. 

In den Sommermonaten steht im Seepark ein Freibad mit Kiosk und Grillplatz zur Verfügung. 

Eine vielfältige Küche wird in den unterschiedlichsten gastronomischen Betrieben geboten. Zudem gibt es viele Übernachtungsmöglichkeiten. 

Einkaufsmöglichkeiten für den täglichen Bedarf sind ausreichend vorhanden. 

Die angebotene Wohnung liegt in der Breite Gasse 5 in Barby.

Im Erdgeschoss befinden sich der Eingang zum Haus sowie zwei direkt von der Straße zufahrbare Garagen. Eine der Garagen ist auch direkt vom Treppenhaus zugänglich und gehört zum Angebot. Die rechts gelegene Garage ist anderweitig vermietet.

In dem Raum unter der nach oben führenden Treppe befindet sich ein Abstellraum. Im oberen Geschoss befindet sich eine ca. 65 m² große 1-Zimmerwohnung mit offener Küche. 

Das Bad mit Dusche, Waschtisch und WC hat ein Fenster, auch gibt es einen Waschmaschinenanschluss

","Die Fenster sind aus Kunststoff und mit Außenjalousien versehen. 

Wie Sie dem Gebäudeschnitt entnehmen können, gibt es auf der Gebäuderückseite eine leichte Schrägung. Hier sind Dachflächenfester eingebaut.

Die Beheizung des Hauses erfolgt über eine neue Gas-Zentralheizung (Brennwert-Therme) mit Warmwasserversorgung, die im März 2018 installiert worden ist.

Da sich der Energiekennwert positiv verändert hat, wurde ein neuer Energieausweis bestellt, der noch nicht vorliegt.
",NA,NA,NA,NA,NA,Feb20
Thüringen,136,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,14,1.85,40,490,1780,107373155,NA,district_heating,FALSE,Thüringen,TRUE,1,354,7,68,Gera,well_kept,NA,NA,Markt,Markt,TRUE,2,apartment,07545,2,64.3,4,5,2,FALSE,3,Gera,Stadtmitte,Es handelt sich um eine besondere 2-Raum-Wohnung in einem sanierten Altbau in der Innenstadt.,"- 1A-Lage Geras
- gefliestes Bad mit Dusche
- helle Räume
- Blick auf den Markt
- Aufzug",NA,NA,1980,90.76,0.2055,Sep18
Nordrhein_Westfalen,185,NA,ONE_YEAR_FREE,NA,FALSE,TRUE,12,2.69,40,767,1964,113576112,NA,gas,FALSE,Nordrhein_Westfalen,TRUE,2,515,281 a,83,Duisburg,NA,NA,NA,Dr.-Wilhelm-Roelen-Stra&szlig;e,Dr.-Wilhelm-Roelen-Straße,FALSE,4,apartment,47179,3.5,226,1,1,3,FALSE,4,Duisburg,Aldenrade,"Die Wohnung befindet sich in einem 4-Familien-Haus. Das Gebäude aus dem Baujahr 1964 liegt in einer ruhigen Sackgasse eingesäumt von Grünflächen nahe einem Wald (Driesenbusch).

Die Wohnung ist zum Bezug mit max. 4 Personen vorgesehen.

Kontaktieren Sie uns auch über den Messenger auf Ihrem Smartphone. Schreiben Sie uns die Objekt-ID „28353-15-M“ in WhatsApp an 0151 7277 7077, in Telegram an VivawestWohnen oder in Threema an *VVWCHAT.","Die Wohnung wurde in 2018 modernisiert

- 1 großes Wohnzimmer mit abgehendem Balkon
- 2 Schlafzimmer
- 1 kleines Zimmer, geeignet als Abstellraum oder Büro
- kleine Küche mit weißem Fliesenspiegel
- Wannenbad mit Fenster (Ausstattung und Fliesen weiß)
- Handtuchheizkörper im Badezimmer vorhanden
- separates WC mit Fenster (Ausstattung und Fliesen weiß)
- Flur
- Kellerraum
- Waschmaschinenanschluss in der allgemeinen Waschküche im Keller vorhanden

Die Beheizung der Wohnung erfolgt per Gaszentralheizung. Die Warmwasseraufbereitung erfolgt über einen Durchlauferhitzer.",67,G,NA,NA,NA,Oct19
Sachsen_Anhalt,NA,district_heating,ONE_YEAR_FREE,10,FALSE,FALSE,8,2.28,2.4,485,1925,114088420,NA,NA,FALSE,Sachsen_Anhalt,FALSE,1,320,NA,54.43,Anhalt_Bitterfeld_Kreis,well_kept,NA,NA,no_information,NA,FALSE,2,ground_floor,06800,2,143,NA,NA,2,FALSE,2,Anhalt_Bitterfeld_Kreis,Jeßnitz_Anhalt,"Hier bieten wir Ihnen eine helle 2-Raum Wohnung in einer freundlichen Nachbarschaft!

Die hellen Räume ermöglichen Ihnen eine angenehme und freundliche Wohnatmosphäre.

Das Objekt befindet sich in einer guten und ruhigen Lage. Unter anderem sind Apotheke, Grundschule, Kindergarten, Bank und Bäckerei zu Fuß erreichbar.","Die Wohnung ist komplett, außer das Bad, mit Laminat ausgestattet. Die Decken und Wände sind weiß.

Das Bad verfügt über eine Wanne und ein Fenster.  Die Sanitärkeramik ist weiß. Die Boden- und Wandfliesen (raumhoch) sind ebenfalls weiß. 

In der Küche finden Sie einen weißen Fliesenspiegel. Die Waschmaschine findet hier ihren Platz.

In diesem Objekt sorgt Fernwärme für eine wohlige Wärme in der Wohnung und für ständig warmes Wasser.",NA,NA,NA,NA,NA,Feb20
Nordrhein_Westfalen,60,NA,ONE_YEAR_FREE,10,FALSE,FALSE,16,4.57,10,700,NA,112805268,1,NA,TRUE,Nordrhein_Westfalen,TRUE,NA,640,26,44,Düsseldorf,fully_renovated,sophisticated,negotiable,Am Haferkamp,Am_Haferkamp,FALSE,5,roof_storey,40589,2,NA,2,2,2,FALSE,2,Düsseldorf,Wersten,"Unweit des Herzens von Wersten befindet sich die gerade renovierte  2 Zi. Wohnung zwischen der Ickeswarderstraße  und Kölner Landstraße.
Diese helle 2-Zimmer-Wohnung liegt im 2. OG eines gepflegten ruhigen Mehrfamilienhaus mit einem herrlichen Blick ins grüne.","Über den Flur erreicht man alle Zimmer  ,die Wohnküche mit EBK samt  Elektrogeräten sowie das Schlafzimmer und das große  Badezimmer  d.h. keine Durchgangszimmer.

-Modernes Badezimmer mit  Fenster 
-Laminat   in Wohn- und Schlafzimmer 

- und vieles vieles mehr ........",NA,NA,2019,NA,NA,Oct19
Sachsen_Anhalt,154.07,gas_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,4,0.93,40,450.17,1928,114895425,NA,gas,FALSE,Sachsen_Anhalt,TRUE,1,296.1,20,47,Magdeburg,modernized,NA,NA,Zuckerbusch,Zuckerbusch,FALSE,1,apartment,39114,2,NA,2,NA,2,FALSE,2,Magdeburg,Cracau,"Die wunderschöne Siedlung liegt in dem Magdeburger Stadtteil Cracau, direkt am Ostufer der Elbe. In den Jahren zwischen 1929 und 1938 wurde die Siedlung Cracau vorwiegend in den Formen der Architektur des so genannten ""Neuen Bauens"" der 1920er Jahre errichtet. Die Grundlagen hatte der bekannte Architekt Bruno Taut 1923 mit seinem Generalsiedlungsplan geschaffen. Die Wohnanlage mit ihrer zweigeschossigen Bauweise steht bereits seit vielen Jahren unter Denkmalschutz. Die Wohnungen verfügen überwiegend alle über einen Balkon und sind mit einer Zentralheizung sowie mit einem rückkanalfähigen Breitbandkabelanschluss ausgestattet. Sämtliche Bäder sind gefliest und verfügen jeweils über ein Fenster.","- neuer CV Bodenbelag wird verlegt
- Tageslichtbad mit Dusche
- Balkon zum begrünten Innenhof
- Keller",70.83,NA,NA,NA,NA,Feb20
Sachsen,150,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,5,1.94,40,420,1900,110366481,NA,gas,FALSE,Sachsen,TRUE,1,270,NA,63.3,Vogtlandkreis,fully_renovated,normal,NA,no_information,NA,TRUE,1,NA,08468,3,120.4,NA,NA,3,FALSE,3,Vogtlandkreis,Reichenbach_im_Vogtland,"Die Zweiraumwohnung verfügt über einen Windfnag, Essdiele, eine Küche, ein Wohnzimmer, Bad mit Wanne, Abstellecke und Schlaf- und Kinderzimmer. Zu jeder Wohnung gehört ein Keller.

Die moderne Wohnung befindet sich in einem sanierten Mehrfamilienhaus, einer ehemaligen Fabrik. Die Wohnungen sind über 3 Treppenaufgänge oder den Lift erreichbar. Die Gebäude sind durch überdachte Laubengänge miteinander verbunden. Zur Wohnanlage gehört ein Parkhaus, ein Kinderspielplatz, ein Wäscheplatz und ein Müllhäuschen. Den Mietern stehen außerdem zwei Waschsalon zur Verfügung.","Stellplatz im Parkdeck kosten je nach Lage 15,- bis 25,- Euro.",NA,NA,NA,NA,NA,Oct19
